metric,model,mode,significance,guarded_mean,standard_mean,median_difference_guarded_minus_standard,wilcoxon_p_value
rule_count,logreg,alternative,0.01,5.457083333333333,3.086666666666666,2.3720833333333333,1.7311263949197286e-06
rule_count,rf,alternative,0.01,5.428166666666667,3.1375000000000006,2.2825,1.862645149230957e-09
rule_count,logreg,alternative,0.05,5.195694444444444,3.086666666666666,2.1479166666666663,1.733306644199106e-06
rule_count,rf,alternative,0.05,5.115333333333333,3.1375000000000006,2.0070833333333336,1.862645149230957e-09
rule_count,logreg,alternative,0.1,5.002333333333335,3.086666666666666,1.9495833333333332,1.7322162331441136e-06
rule_count,rf,alternative,0.1,4.899333333333333,3.1375000000000006,1.7987499999999998,1.733306644199106e-06
rule_count,logreg,alternative,0.2,4.739694444444445,3.086666666666666,1.7108333333333332,1.733306644199106e-06
rule_count,rf,alternative,0.2,4.590861111111111,3.1375000000000006,1.52125,1.862645149230957e-09
rule_count,logreg,factual,0.01,1.8920833333333336,3.086666666666666,-1.179166666666667,1.862645149230957e-09
rule_count,rf,factual,0.01,1.8715000000000002,3.1375000000000006,-1.2579166666666666,1.862645149230957e-09
rule_count,logreg,factual,0.05,1.7328611111111114,3.086666666666666,-1.3587500000000001,1.862645149230957e-09
rule_count,rf,factual,0.05,1.6961944444444443,3.1375000000000006,-1.43375,1.862645149230957e-09
rule_count,logreg,factual,0.1,1.5730833333333332,3.086666666666666,-1.52875,1.862645149230957e-09
rule_count,rf,factual,0.1,1.5411666666666666,3.1375000000000006,-1.5925000000000002,1.862645149230957e-09
rule_count,logreg,factual,0.2,1.2981944444444447,3.086666666666666,-1.8054166666666664,1.862645149230957e-09
rule_count,rf,factual,0.2,1.286833333333333,3.1375000000000006,-1.8383333333333334,1.862645149230957e-09
runtime_ms,logreg,alternative,0.01,42.12386436675377,16.14264263329096,25.485548331683578,1.862645149230957e-09
runtime_ms,rf,alternative,0.01,166.9212980003051,134.58301656569043,32.79093720460271,1.862645149230957e-09
runtime_ms,logreg,alternative,0.05,41.532170383140006,16.14264263329096,25.155707079635857,1.862645149230957e-09
runtime_ms,rf,alternative,0.05,163.68659995320678,134.58301656569043,28.55896166700404,1.862645149230957e-09
runtime_ms,logreg,alternative,0.1,41.173479650256915,16.14264263329096,24.780196454327477,1.862645149230957e-09
runtime_ms,rf,alternative,0.1,161.23352814988337,134.58301656569043,26.374540917022387,1.862645149230957e-09
runtime_ms,logreg,alternative,0.2,40.98987410011857,16.14264263329096,25.01722237255308,1.862645149230957e-09
runtime_ms,rf,alternative,0.2,158.32422691712338,134.58301656569043,23.541893712050907,1.862645149230957e-09
runtime_ms,logreg,factual,0.01,42.248273819122325,16.765924250144355,25.23120983086604,1.862645149230957e-09
runtime_ms,rf,factual,0.01,157.96807286118727,133.75312164988523,24.856299874130244,1.862645149230957e-09
runtime_ms,logreg,factual,0.05,42.06814673891899,16.765924250144355,24.714006161035893,1.862645149230957e-09
runtime_ms,rf,factual,0.05,160.89235390289426,133.75312164988523,23.586678955374126,1.862645149230957e-09
runtime_ms,logreg,factual,0.1,41.857691155216244,16.765924250144355,24.70726303504004,1.862645149230957e-09
runtime_ms,rf,factual,0.1,266.4898878749001,133.75312164988523,23.028692001923147,1.862645149230957e-09
runtime_ms,logreg,factual,0.2,41.76694487780979,16.765924250144355,24.375113163938902,1.862645149230957e-09
runtime_ms,rf,factual,0.2,154.47307353880024,133.75312164988523,21.55593625012746,1.862645149230957e-09
stability_jaccard,logreg,alternative,0.1,0.018345896803813468,0.20234993386243383,-0.18186210317460316,1.862645149230957e-09
stability_jaccard,rf,alternative,0.1,0.018905936208852874,0.2103056746031746,-0.19309146339771338,1.862645149230957e-09
stability_jaccard,logreg,factual,0.1,0.03252314814814814,0.20234993386243383,-0.1739579365079365,1.862645149230957e-09
stability_jaccard,rf,factual,0.1,0.03583981481481482,0.2103056746031746,-0.17479404761904763,1.862645149230957e-09
violation_rate,logreg,alternative,0.01,0.10256746031746031,0.07979166666666665,0.017516369047619045,5.5925920605659485e-05
violation_rate,rf,alternative,0.01,0.10653501984126985,0.08113888888888889,0.022502976190476184,2.6885420083999634e-05
violation_rate,logreg,alternative,0.05,0.03522169312169312,0.07979166666666665,-0.046875496031746025,1.862645149230957e-09
violation_rate,rf,alternative,0.05,0.03525995370370371,0.08113888888888889,-0.04874702380952381,1.862645149230957e-09
violation_rate,logreg,alternative,0.1,0.012007572751322752,0.07979166666666665,-0.06795684523809525,1.862645149230957e-09
violation_rate,rf,alternative,0.1,0.011934292328042329,0.08113888888888889,-0.06834920634920635,1.862645149230957e-09
violation_rate,logreg,alternative,0.2,0.0013302579365079366,0.07979166666666665,-0.07868055555555556,1.862645149230957e-09
violation_rate,rf,alternative,0.2,0.0013095568783068783,0.08113888888888889,-0.07875,1.733306644199106e-06
violation_rate,logreg,factual,0.01,0.064,0.07979166666666665,-0.022291666666666664,0.0005054883658885956
violation_rate,rf,factual,0.01,0.0636388888888889,0.08113888888888889,-0.020833333333333336,0.00023156571731570424
violation_rate,logreg,factual,0.05,0.02616666666666666,0.07979166666666665,-0.05395833333333334,1.7311263949197286e-06
violation_rate,rf,factual,0.05,0.02308333333333333,0.08113888888888889,-0.05625,1.7289484360195754e-06
violation_rate,logreg,factual,0.1,0.007472222222222221,0.07979166666666665,-0.07458333333333333,1.862645149230957e-09
violation_rate,rf,factual,0.1,0.006680555555555556,0.08113888888888889,-0.075625,1.7311263949197286e-06
