seed,model,instance_id,variant,significance,rule_count,violation_rate
0,rf,230,V3_multibin_guard,0.1,2,0.5
0,rf,230,V4_multibin_guard_merge,0.1,2,0.5
0,rf,234,V1_binary,0.1,2,0.0
0,rf,234,V2_multibin,0.1,4,0.0
0,rf,234,V3_multibin_guard,0.1,2,0.0
0,rf,234,V4_multibin_guard_merge,0.1,2,0.0
0,rf,245,V1_binary,0.1,2,0.0
0,rf,245,V2_multibin,0.1,2,0.0
0,rf,245,V3_multibin_guard,0.1,2,0.5
0,rf,245,V4_multibin_guard_merge,0.1,2,0.5
0,rf,261,V1_binary,0.1,2,0.0
0,rf,261,V2_multibin,0.1,3,0.0
0,rf,261,V3_multibin_guard,0.1,2,0.0
0,rf,261,V4_multibin_guard_merge,0.1,2,0.0
0,rf,274,V1_binary,0.1,2,0.0
0,rf,274,V2_multibin,0.1,3,0.0
0,rf,274,V3_multibin_guard,0.1,2,0.0
0,rf,274,V4_multibin_guard_merge,0.1,2,0.0
0,rf,334,V1_binary,0.1,2,0.0
0,rf,334,V2_multibin,0.1,3,0.0
0,rf,334,V3_multibin_guard,0.1,2,0.0
0,rf,334,V4_multibin_guard_merge,0.1,2,0.0
0,rf,352,V1_binary,0.1,2,0.0
0,rf,352,V2_multibin,0.1,3,0.0
0,rf,352,V3_multibin_guard,0.1,2,0.0
0,rf,352,V4_multibin_guard_merge,0.1,2,0.0
0,rf,451,V1_binary,0.1,2,0.0
0,rf,451,V2_multibin,0.1,4,0.0
0,rf,451,V3_multibin_guard,0.1,2,0.0
0,rf,451,V4_multibin_guard_merge,0.1,2,0.0
0,rf,499,V1_binary,0.1,2,0.0
0,rf,499,V2_multibin,0.1,4,0.0
0,rf,499,V3_multibin_guard,0.1,2,0.0
0,rf,499,V4_multibin_guard_merge,0.1,0,0.0
0,rf,87,V1_binary,0.2,2,0.0
0,rf,87,V2_multibin,0.2,3,0.0
0,rf,87,V3_multibin_guard,0.2,1,0.0
0,rf,87,V4_multibin_guard_merge,0.2,1,0.0
0,rf,123,V1_binary,0.2,2,0.0
0,rf,123,V2_multibin,0.2,2,0.5
0,rf,123,V3_multibin_guard,0.2,2,0.5
0,rf,123,V4_multibin_guard_merge,0.2,2,0.5
0,rf,128,V1_binary,0.2,2,0.0
0,rf,128,V2_multibin,0.2,2,0.0
0,rf,128,V3_multibin_guard,0.2,0,0.0
0,rf,128,V4_multibin_guard_merge,0.2,1,0.0
0,rf,155,V1_binary,0.2,2,0.0
0,rf,155,V2_multibin,0.2,2,0.0
0,rf,155,V3_multibin_guard,0.2,0,0.0
0,rf,155,V4_multibin_guard_merge,0.2,0,0.0
0,rf,199,V1_binary,0.2,2,0.0
0,rf,199,V2_multibin,0.2,4,0.0
0,rf,199,V3_multibin_guard,0.2,2,0.0
0,rf,199,V4_multibin_guard_merge,0.2,1,0.0
0,rf,204,V1_binary,0.2,2,0.0
0,rf,204,V2_multibin,0.2,4,0.0
