seed,model,instance_id,density_score,density_quartile,nonempty,feature_retention,rule_retention,violation_rate,rule_count
0,logreg,87,0.1907026579009266,Q3,1,1.0,0.13333333333333333,0.0,2
0,logreg,123,0.07254189775684836,Q2,1,1.0,0.13333333333333333,0.5,2
0,logreg,128,0.26905575776504637,Q4_sparse,1,0.5,0.06666666666666667,0.0,1
0,logreg,155,0.45437426265397385,Q4_sparse,0,0.0,0.0,0.0,0
0,logreg,199,0.10295162030444645,Q3,1,1.0,0.13333333333333333,0.0,2
0,logreg,204,0.06467473937217781,Q1_dense,1,1.0,0.13333333333333333,0.0,2
0,logreg,214,0.07040434006381431,Q1_dense,1,1.0,0.13333333333333333,0.5,2
0,logreg,230,0.19675694837642208,Q4_sparse,1,1.0,0.13333333333333333,0.5,2
0,logreg,234,0.0642430899727813,Q1_dense,1,1.0,0.13333333333333333,0.0,2
0,logreg,245,0.12142918735819737,Q3,1,1.0,0.13333333333333333,0.5,2
0,logreg,261,0.09245507367034059,Q2,1,1.0,0.13333333333333333,0.0,2
0,logreg,274,0.12063762490956091,Q3,1,1.0,0.13333333333333333,0.0,2
0,logreg,334,0.21144919836576967,Q4_sparse,1,1.0,0.13333333333333333,0.0,2
0,logreg,352,0.09676329855373118,Q2,1,1.0,0.13333333333333333,0.0,2
0,logreg,451,0.06936236621555829,Q1_dense,1,1.0,0.13333333333333333,0.0,2
0,logreg,499,0.08993771420995667,Q2,1,1.0,0.13333333333333333,0.0,2
0,rf,87,0.1907026579009266,Q3,1,0.5,0.07142857142857142,0.0,1
0,rf,123,0.07254189775684836,Q2,1,1.0,0.14285714285714285,0.5,2
0,rf,128,0.26905575776504637,Q4_sparse,1,0.5,0.07142857142857142,0.0,1
0,rf,155,0.45437426265397385,Q4_sparse,0,0.0,0.0,0.0,0
0,rf,199,0.10295162030444645,Q3,1,1.0,0.14285714285714285,0.0,2
0,rf,204,0.06467473937217781,Q1_dense,1,1.0,0.14285714285714285,0.0,2
0,rf,214,0.07040434006381431,Q1_dense,1,1.0,0.14285714285714285,0.5,2
0,rf,230,0.19675694837642208,Q4_sparse,1,1.0,0.14285714285714285,0.5,2
0,rf,234,0.0642430899727813,Q1_dense,1,1.0,0.14285714285714285,0.0,2
0,rf,245,0.12142918735819737,Q3,1,1.0,0.14285714285714285,0.5,2
0,rf,261,0.09245507367034059,Q2,1,1.0,0.14285714285714285,0.0,2
0,rf,274,0.12063762490956091,Q3,1,1.0,0.14285714285714285,0.0,2
0,rf,334,0.21144919836576967,Q4_sparse,1,1.0,0.14285714285714285,0.0,2
0,rf,352,0.09676329855373118,Q2,1,1.0,0.14285714285714285,0.0,2
0,rf,451,0.06936236621555829,Q1_dense,1,1.0,0.14285714285714285,0.0,2
0,rf,499,0.08993771420995667,Q2,1,1.0,0.14285714285714285,0.0,2
1,logreg,17,0.0731003539698281,Q2,1,1.0,0.14285714285714285,0.0,2
1,logreg,23,0.0690870580273099,Q1_dense,1,1.0,0.14285714285714285,0.0,2
1,logreg,44,0.048302065438912,Q1_dense,1,1.0,0.14285714285714285,0.0,2
1,logreg,59,0.0917968604339339,Q3,1,1.0,0.14285714285714285,0.0,2
1,logreg,80,0.13304939083704215,Q4_sparse,1,1.0,0.14285714285714285,0.0,2
1,logreg,127,0.2637267504112531,Q4_sparse,1,0.5,0.07142857142857142,0.0,1
1,logreg,139,0.14831575885280807,Q4_sparse,1,1.0,0.14285714285714285,0.0,2
1,logreg,161,0.49818835043632265,Q4_sparse,1,0.5,0.07142857142857142,0.0,1
1,logreg,184,0.06377872768974716,Q1_dense,1,1.0,0.14285714285714285,0.0,2
1,logreg,299,0.05670796727331515,Q1_dense,1,1.0,0.14285714285714285,0.0,2
1,logreg,323,0.07314101308472175,Q2,1,1.0,0.14285714285714285,0.0,2
1,logreg,343,0.06946323023423362,Q2,1,1.0,0.14285714285714285,0.0,2
1,logreg,347,0.11205014703057395,Q3,1,1.0,0.14285714285714285,0.0,2
1,logreg,351,0.10400111866027859,Q3,1,1.0,0.14285714285714285,0.0,2
1,logreg,435,0.08675223984922725,Q2,1,1.0,0.14285714285714285,0.0,2
1,logreg,446,0.0878876437841403,Q3,1,1.0,0.14285714285714285,0.5,2
1,rf,17,0.0731003539698281,Q2,1,1.0,0.13333333333333333,0.0,2
1,rf,23,0.0690870580273099,Q1_dense,1,1.0,0.13333333333333333,0.0,2
1,rf,44,0.048302065438912,Q1_dense,1,1.0,0.13333333333333333,0.0,2
1,rf,59,0.0917968604339339,Q3,1,1.0,0.13333333333333333,0.0,2
1,rf,80,0.13304939083704215,Q4_sparse,1,1.0,0.13333333333333333,0.0,2
1,rf,127,0.2637267504112531,Q4_sparse,1,0.5,0.06666666666666667,0.0,1
1,rf,139,0.14831575885280807,Q4_sparse,1,1.0,0.13333333333333333,0.0,2
1,rf,161,0.49818835043632265,Q4_sparse,1,0.5,0.06666666666666667,0.0,1
1,rf,184,0.06377872768974716,Q1_dense,1,1.0,0.13333333333333333,0.0,2
1,rf,299,0.05670796727331515,Q1_dense,1,1.0,0.13333333333333333,0.0,2
1,rf,323,0.07314101308472175,Q2,1,1.0,0.13333333333333333,0.0,2
1,rf,343,0.06946323023423362,Q2,1,1.0,0.13333333333333333,0.0,2
1,rf,347,0.11205014703057395,Q3,1,1.0,0.13333333333333333,0.0,2
1,rf,351,0.10400111866027859,Q3,1,1.0,0.13333333333333333,0.0,2
1,rf,435,0.08675223984922725,Q2,1,1.0,0.13333333333333333,0.0,2
1,rf,446,0.0878876437841403,Q3,1,1.0,0.13333333333333333,0.5,2
