seed,model,instance_id,significance,nonempty,feature_retention,rule_retention,violation_rate,rule_count
0,rf,499,0.3,1,1.0,0.14285714285714285,0.0,2
0,rf,87,0.5,1,0.5,0.07142857142857142,0.0,1
0,rf,123,0.5,1,1.0,0.14285714285714285,0.5,2
0,rf,128,0.5,0,0.0,0.0,0.0,0
0,rf,155,0.5,0,0.0,0.0,0.0,0
0,rf,199,0.5,1,1.0,0.14285714285714285,0.0,2
0,rf,204,0.5,1,1.0,0.14285714285714285,0.0,2
0,rf,214,0.5,1,0.5,0.07142857142857142,0.0,1
0,rf,230,0.5,1,1.0,0.14285714285714285,0.5,2
0,rf,234,0.5,1,1.0,0.14285714285714285,0.0,2
0,rf,245,0.5,1,0.5,0.07142857142857142,0.0,1
0,rf,261,0.5,0,0.0,0.0,0.0,0
0,rf,274,0.5,0,0.0,0.0,0.0,0
0,rf,334,0.5,0,0.0,0.0,0.0,0
0,rf,352,0.5,0,0.0,0.0,0.0,0
0,rf,451,0.5,1,1.0,0.14285714285714285,0.0,2
0,rf,499,0.5,1,0.5,0.07142857142857142,0.0,1
1,logreg,17,0.01,1,1.0,0.14285714285714285,0.0,2
1,logreg,23,0.01,1,1.0,0.14285714285714285,0.0,2
1,logreg,44,0.01,1,1.0,0.14285714285714285,0.0,2
1,logreg,59,0.01,1,1.0,0.14285714285714285,0.0,2
1,logreg,80,0.01,1,1.0,0.14285714285714285,0.0,2
1,logreg,127,0.01,1,1.0,0.14285714285714285,0.0,2
1,logreg,139,0.01,1,1.0,0.14285714285714285,0.0,2
1,logreg,161,0.01,1,1.0,0.14285714285714285,0.0,2
1,logreg,184,0.01,1,1.0,0.14285714285714285,0.0,2
1,logreg,299,0.01,1,1.0,0.14285714285714285,0.0,2
1,logreg,323,0.01,1,1.0,0.14285714285714285,0.0,2
1,logreg,343,0.01,1,1.0,0.14285714285714285,0.0,2
1,logreg,347,0.01,1,1.0,0.14285714285714285,0.0,2
1,logreg,351,0.01,1,1.0,0.14285714285714285,0.0,2
1,logreg,435,0.01,1,1.0,0.14285714285714285,0.0,2
1,logreg,446,0.01,1,1.0,0.14285714285714285,0.5,2
1,logreg,17,0.05,1,1.0,0.14285714285714285,0.0,2
1,logreg,23,0.05,1,1.0,0.14285714285714285,0.0,2
1,logreg,44,0.05,1,1.0,0.14285714285714285,0.0,2
1,logreg,59,0.05,1,1.0,0.14285714285714285,0.0,2
1,logreg,80,0.05,1,1.0,0.14285714285714285,0.0,2
1,logreg,127,0.05,1,0.5,0.07142857142857142,0.0,1
1,logreg,139,0.05,1,1.0,0.14285714285714285,0.0,2
1,logreg,161,0.05,1,0.5,0.07142857142857142,0.0,1
1,logreg,184,0.05,1,1.0,0.14285714285714285,0.0,2
1,logreg,299,0.05,1,1.0,0.14285714285714285,0.0,2
1,logreg,323,0.05,1,1.0,0.14285714285714285,0.0,2
1,logreg,343,0.05,1,1.0,0.14285714285714285,0.0,2
1,logreg,347,0.05,1,1.0,0.14285714285714285,0.0,2
1,logreg,351,0.05,1,1.0,0.14285714285714285,0.0,2
1,logreg,435,0.05,1,1.0,0.14285714285714285,0.0,2
1,logreg,446,0.05,1,1.0,0.14285714285714285,0.5,2
1,logreg,17,0.1,1,1.0,0.14285714285714285,0.0,2
1,logreg,23,0.1,1,1.0,0.14285714285714285,0.0,2
1,logreg,44,0.1,1,1.0,0.14285714285714285,0.0,2
1,logreg,59,0.1,1,1.0,0.14285714285714285,0.0,2
1,logreg,80,0.1,1,1.0,0.14285714285714285,0.0,2
1,logreg,127,0.1,1,0.5,0.07142857142857142,0.0,1
1,logreg,139,0.1,1,1.0,0.14285714285714285,0.0,2
1,logreg,161,0.1,1,0.5,0.07142857142857142,0.0,1
1,logreg,184,0.1,1,1.0,0.14285714285714285,0.0,2
1,logreg,299,0.1,1,1.0,0.14285714285714285,0.0,2
1,logreg,323,0.1,1,1.0,0.14285714285714285,0.0,2
1,logreg,343,0.1,1,1.0,0.14285714285714285,0.0,2
1,logreg,347,0.1,1,1.0,0.14285714285714285,0.0,2
1,logreg,351,0.1,1,1.0,0.14285714285714285,0.0,2
1,logreg,435,0.1,1,1.0,0.14285714285714285,0.0,2
1,logreg,446,0.1,1,1.0,0.14285714285714285,0.5,2
1,logreg,17,0.2,1,1.0,0.14285714285714285,0.0,2
1,logreg,23,0.2,1,1.0,0.14285714285714285,0.0,2
1,logreg,44,0.2,1,1.0,0.14285714285714285,0.0,2
1,logreg,59,0.2,1,1.0,0.14285714285714285,0.0,2
1,logreg,80,0.2,1,0.5,0.07142857142857142,0.0,1
1,logreg,127,0.2,1,0.5,0.07142857142857142,0.0,1
1,logreg,139,0.2,1,1.0,0.14285714285714285,0.0,2
1,logreg,161,0.2,1,0.5,0.07142857142857142,0.0,1
1,logreg,184,0.2,1,1.0,0.14285714285714285,0.0,2
1,logreg,299,0.2,1,1.0,0.14285714285714285,0.0,2
1,logreg,323,0.2,1,1.0,0.14285714285714285,0.0,2
1,logreg,343,0.2,1,1.0,0.14285714285714285,0.0,2
1,logreg,347,0.2,1,0.5,0.07142857142857142,0.0,1
1,logreg,351,0.2,1,1.0,0.14285714285714285,0.0,2
1,logreg,435,0.2,1,1.0,0.14285714285714285,0.0,2
1,logreg,446,0.2,1,1.0,0.14285714285714285,0.5,2
1,logreg,17,0.3,1,1.0,0.14285714285714285,0.0,2
1,logreg,23,0.3,1,1.0,0.14285714285714285,0.0,2
1,logreg,44,0.3,1,1.0,0.14285714285714285,0.0,2
1,logreg,59,0.3,1,1.0,0.14285714285714285,0.0,2
1,logreg,80,0.3,1,0.5,0.07142857142857142,0.0,1
1,logreg,127,0.3,1,0.5,0.07142857142857142,0.0,1
1,logreg,139,0.3,1,1.0,0.14285714285714285,0.0,2
1,logreg,161,0.3,1,0.5,0.07142857142857142,0.0,1
1,logreg,184,0.3,1,1.0,0.14285714285714285,0.0,2
1,logreg,299,0.3,1,1.0,0.14285714285714285,0.0,2
1,logreg,323,0.3,1,1.0,0.14285714285714285,0.0,2
1,logreg,343,0.3,1,1.0,0.14285714285714285,0.0,2
1,logreg,347,0.3,1,0.5,0.07142857142857142,0.0,1
1,logreg,351,0.3,1,1.0,0.14285714285714285,0.0,2
1,logreg,435,0.3,1,0.5,0.07142857142857142,0.0,1
1,logreg,446,0.3,1,1.0,0.14285714285714285,0.5,2
1,logreg,17,0.5,1,1.0,0.14285714285714285,0.0,2
1,logreg,23,0.5,1,1.0,0.14285714285714285,0.0,2
1,logreg,44,0.5,1,1.0,0.14285714285714285,0.0,2
1,logreg,59,0.5,1,1.0,0.14285714285714285,0.0,2
1,logreg,80,0.5,1,0.5,0.07142857142857142,0.0,1
1,logreg,127,0.5,0,0.0,0.0,0.0,0
1,logreg,139,0.5,1,0.5,0.07142857142857142,0.0,1
1,logreg,161,0.5,0,0.0,0.0,0.0,0
1,logreg,184,0.5,1,0.5,0.07142857142857142,0.0,1
1,logreg,299,0.5,1,1.0,0.14285714285714285,0.0,2
1,logreg,323,0.5,1,0.5,0.07142857142857142,0.0,1
1,logreg,343,0.5,1,0.5,0.07142857142857142,0.0,1
1,logreg,347,0.5,0,0.0,0.0,0.0,0
1,logreg,351,0.5,1,0.5,0.07142857142857142,0.0,1
1,logreg,435,0.5,1,0.5,0.07142857142857142,0.0,1
1,logreg,446,0.5,1,0.5,0.07142857142857142,0.0,1
