seed,model,instance_id,cal_size,nonempty,feature_retention,rule_retention,violation_rate,rule_count
0,rf,334,1000,1,0.5,0.07142857142857142,0.0,1
0,rf,352,1000,1,1.0,0.14285714285714285,0.0,2
0,rf,451,1000,1,1.0,0.14285714285714285,0.0,2
0,rf,499,1000,1,1.0,0.14285714285714285,0.0,2
0,logreg,87,2000,1,0.5,0.0625,0.0,1
0,logreg,123,2000,1,1.0,0.125,0.5,2
0,logreg,128,2000,1,1.0,0.125,0.0,2
0,logreg,155,2000,1,0.5,0.0625,0.0,1
0,logreg,199,2000,1,1.0,0.125,0.0,2
0,logreg,204,2000,1,1.0,0.125,0.0,2
0,logreg,214,2000,1,1.0,0.125,0.5,2
0,logreg,230,2000,1,1.0,0.125,0.5,2
0,logreg,234,2000,1,1.0,0.125,0.0,2
0,logreg,245,2000,1,1.0,0.125,0.5,2
0,logreg,261,2000,1,1.0,0.125,0.0,2
0,logreg,274,2000,1,1.0,0.125,0.0,2
0,logreg,334,2000,1,0.5,0.0625,0.0,1
0,logreg,352,2000,1,1.0,0.125,0.0,2
0,logreg,451,2000,1,1.0,0.125,0.0,2
0,logreg,499,2000,1,1.0,0.125,0.0,2
0,rf,87,2000,1,0.5,0.07142857142857142,0.0,1
0,rf,123,2000,1,1.0,0.14285714285714285,0.5,2
0,rf,128,2000,1,1.0,0.14285714285714285,0.0,2
0,rf,155,2000,1,0.5,0.07142857142857142,0.0,1
0,rf,199,2000,1,1.0,0.14285714285714285,0.0,2
0,rf,204,2000,1,1.0,0.14285714285714285,0.0,2
0,rf,214,2000,1,1.0,0.14285714285714285,0.5,2
0,rf,230,2000,1,1.0,0.14285714285714285,0.5,2
0,rf,234,2000,1,1.0,0.14285714285714285,0.0,2
0,rf,245,2000,1,1.0,0.14285714285714285,0.5,2
0,rf,261,2000,1,1.0,0.14285714285714285,0.0,2
0,rf,274,2000,1,1.0,0.14285714285714285,0.0,2
0,rf,334,2000,1,0.5,0.07142857142857142,0.0,1
0,rf,352,2000,1,1.0,0.14285714285714285,0.0,2
0,rf,451,2000,1,1.0,0.14285714285714285,0.0,2
0,rf,499,2000,1,1.0,0.14285714285714285,0.0,2
0,logreg,87,5000,1,1.0,0.125,0.0,2
0,logreg,123,5000,1,1.0,0.125,0.5,2
0,logreg,128,5000,1,1.0,0.125,0.0,2
0,logreg,155,5000,0,0.0,0.0,0.0,0
0,logreg,199,5000,1,1.0,0.125,0.0,2
0,logreg,204,5000,1,1.0,0.125,0.0,2
0,logreg,214,5000,1,1.0,0.125,0.5,2
0,logreg,230,5000,1,1.0,0.125,0.5,2
0,logreg,234,5000,1,1.0,0.125,0.0,2
0,logreg,245,5000,1,1.0,0.125,0.5,2
0,logreg,261,5000,1,1.0,0.125,0.0,2
0,logreg,274,5000,1,1.0,0.125,0.0,2
0,logreg,334,5000,1,0.5,0.0625,0.0,1
0,logreg,352,5000,1,1.0,0.125,0.0,2
0,logreg,451,5000,1,1.0,0.125,0.0,2
0,logreg,499,5000,1,1.0,0.125,0.0,2
0,rf,87,5000,1,1.0,0.125,0.0,2
0,rf,123,5000,1,1.0,0.125,0.5,2
0,rf,128,5000,1,1.0,0.125,0.0,2
0,rf,155,5000,0,0.0,0.0,0.0,0
0,rf,199,5000,1,1.0,0.125,0.0,2
0,rf,204,5000,1,1.0,0.125,0.0,2
0,rf,214,5000,1,1.0,0.125,0.0,2
0,rf,230,5000,1,1.0,0.125,0.5,2
0,rf,234,5000,1,1.0,0.125,0.0,2
0,rf,245,5000,1,1.0,0.125,0.5,2
0,rf,261,5000,1,1.0,0.125,0.0,2
0,rf,274,5000,1,1.0,0.125,0.0,2
0,rf,334,5000,1,0.5,0.0625,0.0,1
0,rf,352,5000,1,1.0,0.125,0.0,2
0,rf,451,5000,1,1.0,0.125,0.0,2
0,rf,499,5000,1,1.0,0.125,0.0,2
1,logreg,17,250,1,1.0,0.16666666666666666,0.0,2
1,logreg,23,250,1,1.0,0.16666666666666666,0.0,2
1,logreg,44,250,1,1.0,0.16666666666666666,0.0,2
1,logreg,59,250,1,1.0,0.16666666666666666,0.0,2
1,logreg,80,250,1,1.0,0.16666666666666666,0.0,2
1,logreg,127,250,1,0.5,0.08333333333333333,0.0,1
1,logreg,139,250,1,1.0,0.16666666666666666,0.0,2
1,logreg,161,250,1,0.5,0.08333333333333333,0.0,1
1,logreg,184,250,1,1.0,0.16666666666666666,0.0,2
1,logreg,299,250,1,1.0,0.16666666666666666,0.0,2
1,logreg,323,250,1,1.0,0.16666666666666666,0.0,2
1,logreg,343,250,1,1.0,0.16666666666666666,0.0,2
1,logreg,347,250,1,1.0,0.16666666666666666,0.0,2
1,logreg,351,250,1,1.0,0.16666666666666666,0.0,2
1,logreg,435,250,1,1.0,0.16666666666666666,0.0,2
1,logreg,446,250,1,1.0,0.16666666666666666,0.5,2
1,rf,17,250,1,1.0,0.15384615384615385,0.0,2
1,rf,23,250,1,1.0,0.15384615384615385,0.0,2
1,rf,44,250,1,1.0,0.15384615384615385,0.0,2
1,rf,59,250,1,1.0,0.15384615384615385,0.0,2
1,rf,80,250,1,1.0,0.15384615384615385,0.0,2
1,rf,127,250,1,0.5,0.07692307692307693,0.0,1
1,rf,139,250,1,1.0,0.15384615384615385,0.0,2
1,rf,161,250,1,0.5,0.07692307692307693,0.0,1
1,rf,184,250,1,1.0,0.15384615384615385,0.0,2
1,rf,299,250,1,1.0,0.15384615384615385,0.0,2
1,rf,323,250,1,1.0,0.15384615384615385,0.0,2
1,rf,343,250,1,1.0,0.15384615384615385,0.0,2
1,rf,347,250,1,1.0,0.15384615384615385,0.0,2
1,rf,351,250,1,1.0,0.15384615384615385,0.0,2
1,rf,435,250,1,1.0,0.15384615384615385,0.0,2
1,rf,446,250,1,1.0,0.15384615384615385,0.5,2
1,logreg,17,500,1,1.0,0.15384615384615385,0.0,2
1,logreg,23,500,1,1.0,0.15384615384615385,0.0,2
1,logreg,44,500,1,1.0,0.15384615384615385,0.0,2
1,logreg,59,500,1,1.0,0.15384615384615385,0.0,2
1,logreg,80,500,1,1.0,0.15384615384615385,0.0,2
1,logreg,127,500,1,1.0,0.15384615384615385,0.0,2
1,logreg,139,500,1,1.0,0.15384615384615385,0.0,2
1,logreg,161,500,1,0.5,0.07692307692307693,0.0,1
1,logreg,184,500,1,1.0,0.15384615384615385,0.0,2
1,logreg,299,500,1,1.0,0.15384615384615385,0.0,2
1,logreg,323,500,1,1.0,0.15384615384615385,0.0,2
1,logreg,343,500,1,1.0,0.15384615384615385,0.0,2
1,logreg,347,500,1,1.0,0.15384615384615385,0.0,2
1,logreg,351,500,1,1.0,0.15384615384615385,0.0,2
1,logreg,435,500,1,1.0,0.15384615384615385,0.0,2
1,logreg,446,500,1,1.0,0.15384615384615385,0.5,2
1,rf,17,500,1,1.0,0.14285714285714285,0.0,2
1,rf,23,500,1,1.0,0.14285714285714285,0.0,2
1,rf,44,500,1,1.0,0.14285714285714285,0.0,2
1,rf,59,500,1,1.0,0.14285714285714285,0.0,2
1,rf,80,500,1,1.0,0.14285714285714285,0.0,2
