method,significance,model,top1_recovery,top2_recovery,noise_rule_frac,mean_rules
guarded,0.05,logreg,0.973,0.9616666666666667,0.33211111111111113,3.101166666666667
guarded,0.05,rf,0.9723333333333334,0.9525,0.45275,3.6135
guarded,0.1,logreg,0.9415,0.9216666666666666,0.31263888888888886,2.901
guarded,0.1,rf,0.939,0.9021666666666667,0.43511111111111106,3.3768333333333334
guarded,0.2,logreg,0.8746666666666667,0.8391666666666666,0.27997222222222223,2.5301666666666667
guarded,0.2,rf,0.8661666666666666,0.803,0.4051944444444444,2.946
standard_multibin,,logreg,0.8756666666666667,0.7205,0.3457123015873016,4.992333333333334
standard_multibin,,rf,0.859,0.661,0.4551265873015873,5.808333333333334
