method,model,mean_jaccard,std_jaccard
guarded,logreg,0.06681547619047619,0.14282531495904197
guarded,rf,0.07157738095238095,0.17439572671131162
standard_multibin,logreg,0.16087046633921634,0.17601058043946458
standard_multibin,rf,0.11257434694934694,0.10766524570496845
