arm,strategy,dataset,seed,n_cal_target,n_cal,n_test,epsilon,confidence,coverage,lower_ci,upper_ci,violation,structural_violation,reject_rate,singleton_precision,singleton_recall,singleton_correct_count,singleton_count,singleton_precision_recall_defined
C,experimental.difficulty_normalized,creditA,42,50,50,138,0.1,0.9,0.7536231884057971,0.6730904684345428,0.8229483056182757,True,True,0.15942028985507245,0.8879310344827587,0.7463768115942029,103,116,True
A,builtin.default,creditA,42,100,100,138,0.05,0.95,0.8913043478260869,0.8270655092092569,0.9378735516257146,True,True,0.15217391304347827,0.8717948717948718,0.7391304347826086,102,117,True
C,experimental.difficulty_normalized,creditA,42,100,100,138,0.05,0.95,0.9057971014492754,0.844297824232858,0.9488822616884096,True,True,0.2028985507246377,0.8818181818181818,0.7028985507246377,97,110,True
A,builtin.default,creditA,42,100,100,138,0.1,0.9,0.8043478260869565,0.7282521514559134,0.8669274056731241,True,True,0.057971014492753624,0.8538461538461538,0.8043478260869565,111,130,True
C,experimental.difficulty_normalized,creditA,42,100,100,138,0.1,0.9,0.8405797101449275,0.7686429104424255,0.8973130520934876,True,True,0.09420289855072464,0.88,0.7971014492753623,110,125,True
A,builtin.default,creditA,42,200,200,138,0.05,0.95,0.9057971014492754,0.844297824232858,0.9488822616884096,True,True,0.1956521739130435,0.8828828828828829,0.7101449275362319,98,111,True
C,experimental.difficulty_normalized,creditA,42,200,200,138,0.05,0.95,0.927536231884058,0.8707743093020052,0.9647054469356416,True,False,0.2463768115942029,0.9038461538461539,0.6811594202898551,94,104,True
A,builtin.default,creditA,42,200,200,138,0.1,0.9,0.855072463768116,0.7850816358215102,0.9091710261092785,True,False,0.028985507246376812,0.8507462686567164,0.8260869565217391,114,134,True
C,experimental.difficulty_normalized,creditA,42,200,200,138,0.1,0.9,0.8405797101449275,0.7686429104424255,0.8973130520934876,True,True,0.043478260869565216,0.8484848484848485,0.8115942028985508,112,132,True
A,builtin.default,creditA,42,400,400,138,0.05,0.95,0.9130434782608695,0.8530309325471026,0.9542588878502754,True,False,0.2028985507246377,0.8909090909090909,0.7101449275362319,98,110,True
C,experimental.difficulty_normalized,creditA,42,400,400,138,0.05,0.95,0.927536231884058,0.8707743093020052,0.9647054469356416,True,False,0.2536231884057971,0.9029126213592233,0.6739130434782609,93,103,True
