policy,confidence,coverage,reject_rate,error_rate,ambiguity_rate,novelty_rate,accepted_accuracy,accepted_accuracy_delta,accepted_ece,accepted_ece_delta
flag,0.8,0.8333333333333334,0.16666666666666666,0.03999999999999993,0.0,0.16666666666666666,1.0,0.04385964912280704,0.02421052631578945,0.010000000000000005
flag,0.82375,0.868421052631579,0.13157894736842105,0.05143939393939395,0.0,0.13157894736842105,0.98989898989899,0.03375863902179699,0.02752525252525251,0.0066852737905369435
flag,0.8475,0.9035087719298246,0.09649122807017543,0.061990291262135906,0.0,0.09649122807017543,0.9902912621359223,0.03415091125872938,0.030501618122977327,0.0037089081928121277
flag,0.8712500000000001,0.9210526315789473,0.07894736842105263,0.054071428571428486,0.0,0.07894736842105263,0.9809523809523809,0.024812030075187952,0.030634920634920612,0.003575605680868843
flag,0.895,0.9298245614035088,0.07017543859649122,0.03745283018867923,0.0,0.07017543859649122,0.9811320754716981,0.02499172459450516,0.032468553459119476,0.0017419728566699794
flag,0.91875,0.9473684210526315,0.05263157894736842,0.030208333333333375,0.0,0.05263157894736842,0.9722222222222222,0.016081871345029253,0.031635802469135776,0.0025747238466536787
flag,0.9425,0.9473684210526315,0.05263157894736842,0.005138888888888886,0.0,0.05263157894736842,0.9722222222222222,0.016081871345029253,0.031635802469135776,0.0025747238466536787
flag,0.96625,0.9912280701754386,0.008771929824561403,0.025199115044247735,0.0,0.008771929824561403,0.9646017699115044,0.008461419034311413,0.03930678466076694,-0.005096258344977483
flag,0.99,0.9473684210526315,0.05263157894736842,0.010555555555555565,0.05263157894736842,0.0,0.9722222222222222,0.016081871345029253,0.031635802469135776,0.0025747238466536787
only_rejected,0.8,0.8333333333333334,0.16666666666666666,0.03999999999999993,0.0,0.16666666666666666,1.0,0.04385964912280704,0.02421052631578945,0.010000000000000005
only_rejected,0.82375,0.868421052631579,0.13157894736842105,0.05143939393939395,0.0,0.13157894736842105,0.98989898989899,0.03375863902179699,0.02752525252525251,0.0066852737905369435
only_rejected,0.8475,0.9035087719298246,0.09649122807017543,0.061990291262135906,0.0,0.09649122807017543,0.9902912621359223,0.03415091125872938,0.030501618122977327,0.0037089081928121277
only_rejected,0.8712500000000001,0.9210526315789473,0.07894736842105263,0.054071428571428486,0.0,0.07894736842105263,0.9809523809523809,0.024812030075187952,0.030634920634920612,0.003575605680868843
only_rejected,0.895,0.9298245614035088,0.07017543859649122,0.03745283018867923,0.0,0.07017543859649122,0.9811320754716981,0.02499172459450516,0.032468553459119476,0.0017419728566699794
only_rejected,0.91875,0.9473684210526315,0.05263157894736842,0.030208333333333375,0.0,0.05263157894736842,0.9722222222222222,0.016081871345029253,0.031635802469135776,0.0025747238466536787
only_rejected,0.9425,0.9473684210526315,0.05263157894736842,0.005138888888888886,0.0,0.05263157894736842,0.9722222222222222,0.016081871345029253,0.031635802469135776,0.0025747238466536787
only_rejected,0.96625,0.9912280701754386,0.008771929824561403,0.025199115044247735,0.0,0.008771929824561403,0.9646017699115044,0.008461419034311413,0.03930678466076694,-0.005096258344977483
only_rejected,0.99,0.9473684210526315,0.05263157894736842,0.010555555555555565,0.05263157894736842,0.0,0.9722222222222222,0.016081871345029253,0.031635802469135776,0.0025747238466536787
only_accepted,0.8,0.8333333333333334,0.16666666666666666,0.03999999999999993,0.0,0.16666666666666666,1.0,0.04385964912280704,0.02421052631578945,0.010000000000000005
only_accepted,0.82375,0.868421052631579,0.13157894736842105,0.05143939393939395,0.0,0.13157894736842105,0.98989898989899,0.03375863902179699,0.02752525252525251,0.0066852737905369435
only_accepted,0.8475,0.9035087719298246,0.09649122807017543,0.061990291262135906,0.0,0.09649122807017543,0.9902912621359223,0.03415091125872938,0.030501618122977327,0.0037089081928121277
only_accepted,0.8712500000000001,0.9210526315789473,0.07894736842105263,0.054071428571428486,0.0,0.07894736842105263,0.9809523809523809,0.024812030075187952,0.030634920634920612,0.003575605680868843
only_accepted,0.895,0.9298245614035088,0.07017543859649122,0.03745283018867923,0.0,0.07017543859649122,0.9811320754716981,0.02499172459450516,0.032468553459119476,0.0017419728566699794
only_accepted,0.91875,0.9473684210526315,0.05263157894736842,0.030208333333333375,0.0,0.05263157894736842,0.9722222222222222,0.016081871345029253,0.031635802469135776,0.0025747238466536787
only_accepted,0.9425,0.9473684210526315,0.05263157894736842,0.005138888888888886,0.0,0.05263157894736842,0.9722222222222222,0.016081871345029253,0.031635802469135776,0.0025747238466536787
only_accepted,0.96625,0.9912280701754386,0.008771929824561403,0.025199115044247735,0.0,0.008771929824561403,0.9646017699115044,0.008461419034311413,0.03930678466076694,-0.005096258344977483
only_accepted,0.99,0.9473684210526315,0.05263157894736842,0.010555555555555565,0.05263157894736842,0.0,0.9722222222222222,0.016081871345029253,0.031635802469135776,0.0025747238466536787
