dataset,confidence,epsilon,effective_confidence,threshold_type,threshold_id,threshold_quantile,threshold_lower_quantile,threshold_upper_quantile,effective_threshold,threshold_value,threshold_low,threshold_high,threshold_source,n_cal,n_test,event_prevalence,empirical_event_coverage,coverage_defined,lower_ci,upper_ci,violation,structural_violation,empirical_singleton_error,reject_rate,n_total,n_empty,n_singleton,n_ambiguity,novelty_rate,singleton_rate,ambiguity_rate,reject_rate_from_sets,singleton_precision,singleton_recall,singleton_correct_count,singleton_count,singleton_precision_recall_defined
diabetes_reg,0.9,0.09999999999999998,0.9,scalar,q0.10,0.1,,,0.11898734177215191,0.11898734177215191,,,call_reinitialized,89,89,0.0898876404494382,0.9325842696629213,True,0.8590204353088651,0.9748594714318786,False,False,0.07894736842105263,0.14606741573033707,89,0,76,13,0.0,0.8539325842696629,0.14606741573033707,0.14606741573033707,0.9210526315789473,0.7865168539325843,70,76,True
diabetes_reg,0.95,0.050000000000000044,0.95,scalar,q0.10,0.1,,,0.11898734177215191,0.11898734177215191,,,call,89,89,0.0898876404494382,0.9887640449438202,True,0.9389816956529178,0.9997155707052978,False,False,0.022222222222222223,0.4943820224719101,89,0,45,44,0.0,0.5056179775280899,0.4943820224719101,0.4943820224719101,0.9777777777777777,0.4943820224719101,44,45,True
diabetes_reg,0.9,0.09999999999999998,0.9,scalar,q0.20,0.2,,,0.17594936708860762,0.17594936708860762,,,call_reinitialized,89,89,0.21348314606741572,0.9213483146067416,True,0.844640540876661,0.9677929366956488,False,False,0.11475409836065574,0.3146067415730337,89,0,61,28,0.0,0.6853932584269663,0.3146067415730337,0.3146067415730337,0.8852459016393442,0.6067415730337079,54,61,True
diabetes_reg,0.95,0.050000000000000044,0.95,scalar,q0.20,0.2,,,0.17594936708860762,0.17594936708860762,,,call,89,89,0.21348314606741572,0.9550561797752809,True,0.8889080027525981,0.9876204223819782,False,False,0.08695652173913043,0.48314606741573035,89,0,46,43,0.0,0.5168539325842697,0.48314606741573035,0.48314606741573035,0.9130434782608695,0.47191011235955055,42,46,True
diabetes_reg,0.9,0.09999999999999998,0.9,scalar,q0.30,0.30000000000000004,,,0.25,0.25,,,call_reinitialized,89,89,0.4044943820224719,0.8314606741573034,True,0.7372994931407225,0.9024876033992018,True,False,0.2542372881355932,0.33707865168539325,89,0,59,30,0.0,0.6629213483146067,0.33707865168539325,0.33707865168539325,0.7457627118644068,0.4943820224719101,44,59,True
diabetes_reg,0.95,0.050000000000000044,0.95,scalar,q0.30,0.30000000000000004,,,0.25,0.25,,,call,89,89,0.4044943820224719,0.9438202247191011,True,0.8737472039502716,0.9815091953335144,True,False,0.15151515151515152,0.6292134831460674,89,0,33,56,0.0,0.3707865168539326,0.6292134831460674,0.6292134831460674,0.8484848484848485,0.3146067415730337,28,33,True
diabetes_reg,0.9,0.09999999999999998,0.9,scalar,q0.40,0.4,,,0.330379746835443,0.330379746835443,,,call_reinitialized,89,89,0.5056179775280899,0.9438202247191011,True,0.8737472039502716,0.9815091953335144,False,False,0.16129032258064516,0.651685393258427,89,0,31,58,0.0,0.34831460674157305,0.651685393258427,0.651685393258427,0.8387096774193549,0.29213483146067415,26,31,True
diabetes_reg,0.95,0.050000000000000044,0.95,scalar,q0.40,0.4,,,0.330379746835443,0.330379746835443,,,call,89,89,0.5056179775280899,1.0,True,0.9593991424503411,1.0,False,False,0.0,0.8202247191011236,89,0,16,73,0.0,0.1797752808988764,0.8202247191011236,0.8202247191011236,1.0,0.1797752808988764,16,16,True
diabetes_reg,0.9,0.09999999999999998,0.9,scalar,q0.50,0.5,,,0.379746835443038,0.379746835443038,,,call_reinitialized,89,89,0.550561797752809,0.9550561797752809,True,0.8889080027525981,0.9876204223819782,False,False,0.13793103448275862,0.6741573033707865,89,0,29,60,0.0,0.3258426966292135,0.6741573033707865,0.6741573033707865,0.8620689655172413,0.2808988764044944,25,29,True
diabetes_reg,0.95,0.050000000000000044,0.95,scalar,q0.50,0.5,,,0.379746835443038,0.379746835443038,,,call,89,89,0.550561797752809,0.9887640449438202,True,0.9389816956529178,0.9997155707052978,False,False,0.05263157894736842,0.7865168539325843,89,0,19,70,0.0,0.21348314606741572,0.7865168539325843,0.7865168539325843,0.9473684210526315,0.20224719101123595,18,19,True
diabetes_reg,0.9,0.09999999999999998,0.9,interval,q0.25_q0.75,,0.25,0.75,"(0.2120253164556962, 0.6170886075949367)",,0.2120253164556962,0.6170886075949367,call_reinitialized,89,89,0.4943820224719101,0.9438202247191011,True,0.8737472039502716,0.9815091953335144,False,False,0.29411764705882354,0.8089887640449438,89,0,17,72,0.0,0.19101123595505617,0.8089887640449438,0.8089887640449438,0.7058823529411765,0.1348314606741573,12,17,True
diabetes_reg,0.95,0.050000000000000044,0.95,interval,q0.25_q0.75,,0.25,0.75,"(0.2120253164556962, 0.6170886075949367)",,0.2120253164556962,0.6170886075949367,call,89,89,0.4943820224719101,0.9775280898876404,True,0.9211718756816739,0.9972668666159473,False,False,0.2,0.8876404494382022,89,0,10,79,0.0,0.11235955056179775,0.8876404494382022,0.8876404494382022,0.8,0.0898876404494382,8,10,True
abalone,0.9,0.09999999999999998,0.9,scalar,q0.10,0.1,,,0.17857142857142858,0.17857142857142858,,,call_reinitialized,836,836,0.11483253588516747,0.9318181818181818,True,0.9125617384285905,0.9479542010036482,False,False,0.06818181818181818,0.0,836,0,836,0,0.0,1.0,0.0,0.0,0.9318181818181818,0.9318181818181818,779,836,True
abalone,0.95,0.050000000000000044,0.95,scalar,q0.10,0.1,,,0.17857142857142858,0.17857142857142858,,,call,836,836,0.11483253588516747,0.9700956937799043,True,0.9561704071692998,0.9805559791933182,False,False,0.03209242618741977,0.06818181818181818,836,0,779,57,0.0,0.9318181818181818,0.06818181818181818,0.06818181818181818,0.9679075738125802,0.9019138755980861,754,779,True
abalone,0.9,0.09999999999999998,0.9,scalar,q0.20,0.2,,,0.25,0.25,,,call_reinitialized,836,836,0.33373205741626794,0.9090909090909091,True,0.8875348799965239,0.9277062180562906,False,False,0.10511756569847856,0.13516746411483255,836,0,723,113,0.0,0.8648325358851675,0.13516746411483255,0.13516746411483255,0.8948824343015215,0.7739234449760766,647,723,True
abalone,0.95,0.050000000000000044,0.95,scalar,q0.20,0.2,,,0.25,0.25,,,call,836,836,0.33373205741626794,0.9509569377990431,True,0.9340528783062024,0.9645793320964902,False,False,0.06776859504132231,0.27631578947368424,836,0,605,231,0.0,0.7236842105263158,0.27631578947368424,0.27631578947368424,0.9322314049586777,0.6746411483253588,564,605,True
abalone,0.9,0.09999999999999998,0.9,scalar,q0.30,0.30000000000000004,,,0.25,0.25,,,call,836,836,0.33373205741626794,0.9090909090909091,True,0.8875348799965239,0.9277062180562906,False,False,0.10511756569847856,0.13516746411483255,836,0,723,113,0.0,0.8648325358851675,0.13516746411483255,0.13516746411483255,0.8948824343015215,0.7739234449760766,647,723,True
abalone,0.95,0.050000000000000044,0.95,scalar,q0.30,0.30000000000000004,,,0.25,0.25,,,call,836,836,0.33373205741626794,0.9509569377990431,True,0.9340528783062024,0.9645793320964902,False,False,0.06776859504132231,0.27631578947368424,836,0,605,231,0.0,0.7236842105263158,0.27631578947368424,0.27631578947368424,0.9322314049586777,0.6746411483253588,564,605,True
abalone,0.9,0.09999999999999998,0.9,scalar,q0.40,0.4,,,0.2857142857142857,0.2857142857142857,,,call_reinitialized,836,836,0.5035885167464115,0.8827751196172249,True,0.8590103024293183,0.9037994066534265,True,False,0.15629984051036683,0.25,836,0,627,209,0.0,0.75,0.25,0.25,0.8437001594896332,0.6327751196172249,529,627,True
abalone,0.95,0.050000000000000044,0.95,scalar,q0.40,0.4,,,0.2857142857142857,0.2857142857142857,,,call,836,836,0.5035885167464115,0.9485645933014354,True,0.9313391633454806,0.9625293053692482,True,False,0.0945054945054945,0.4557416267942584,836,0,455,381,0.0,0.5442583732057417,0.4557416267942584,0.4557416267942584,0.9054945054945055,0.49282296650717705,412,455,True
