dataset,seed,epsilon,n_cal,n_test,coverage,lower_ci,upper_ci,violation,structural_violation,reject_rate,singleton_precision,singleton_recall,singleton_correct_count,singleton_count,singleton_precision_recall_defined,accepted_accuracy_empirical
breast_cancer,42,0.01,114,114,0.9736842105263158,0.9250181548996931,0.9945398216817498,True,False,0.05263157894736842,0.9722222222222222,0.9210526315789473,105,108,True,0.9722222222222222
breast_cancer,42,0.05,114,114,0.9385964912280702,0.877573083780254,0.9749586803252369,True,False,0.02631578947368421,0.963963963963964,0.9385964912280702,107,111,True,0.963963963963964
breast_cancer,42,0.1,114,114,0.9210526315789473,0.8554198780593214,0.9632646932993097,False,False,0.05263157894736842,0.9722222222222222,0.9210526315789473,105,108,True,0.9722222222222222
breast_cancer,43,0.01,114,114,0.956140350877193,0.9006113471996758,0.9856076911329386,True,True,0.05263157894736842,0.9537037037037037,0.9035087719298246,103,108,True,0.9537037037037037
breast_cancer,43,0.05,114,114,0.9210526315789473,0.8554198780593214,0.9632646932993097,True,False,0.02631578947368421,0.9459459459459459,0.9210526315789473,105,111,True,0.9459459459459459
breast_cancer,43,0.1,114,114,0.9035087719298246,0.833907678769954,0.9508408722199633,False,False,0.05263157894736842,0.9537037037037037,0.9035087719298246,103,108,True,0.9537037037037037
breast_cancer,44,0.01,114,114,0.9824561403508771,0.9380613067700988,0.9978682505790368,True,False,0.017543859649122806,0.9821428571428571,0.9649122807017544,110,112,True,0.9821428571428571
breast_cancer,44,0.05,114,114,0.9824561403508771,0.9380613067700988,0.9978682505790368,False,False,0.0,0.9824561403508771,0.9824561403508771,112,114,True,0.9824561403508771
breast_cancer,44,0.1,114,114,0.9385964912280702,0.877573083780254,0.9749586803252369,False,False,0.05263157894736842,0.9907407407407407,0.9385964912280702,107,108,True,0.9907407407407407
breast_cancer,45,0.01,114,114,0.9824561403508771,0.9380613067700988,0.9978682505790368,True,False,0.08771929824561403,0.9807692307692307,0.8947368421052632,102,104,True,0.9807692307692307
breast_cancer,45,0.05,114,114,0.956140350877193,0.9006113471996758,0.9856076911329386,False,False,0.0,0.956140350877193,0.956140350877193,109,114,True,0.956140350877193
breast_cancer,45,0.1,114,114,0.8947368421052632,0.8233446829933384,0.9444137255752582,True,False,0.08771929824561403,0.9807692307692307,0.8947368421052632,102,104,True,0.9807692307692307
breast_cancer,46,0.01,114,114,0.9912280701754386,0.9520947421476234,0.9997779386246903,False,False,0.14035087719298245,0.9897959183673469,0.8508771929824561,97,98,True,0.9897959183673469
breast_cancer,46,0.05,114,114,0.9736842105263158,0.9250181548996931,0.9945398216817498,False,False,0.043859649122807015,0.9724770642201835,0.9298245614035088,106,109,True,0.9724770642201835
breast_cancer,46,0.1,114,114,0.8947368421052632,0.8233446829933384,0.9444137255752582,True,False,0.08771929824561403,0.9807692307692307,0.8947368421052632,102,104,True,0.9807692307692307
colic,42,0.01,72,72,1.0,0.9500559162941441,1.0,False,False,1.0,,0.0,0,0,False,
colic,42,0.05,72,72,0.9305555555555556,0.8453326851838769,0.9770683408462724,True,False,0.3055555555555556,0.9,0.625,45,50,True,0.9
colic,42,0.1,72,72,0.8055555555555556,0.6953310667013167,0.8894162133215106,True,True,0.0,0.8055555555555556,0.8055555555555556,58,72,True,0.8333333333333334
colic,43,0.01,72,72,1.0,0.9500559162941441,1.0,False,False,1.0,,0.0,0,0,False,
colic,43,0.05,72,72,0.9583333333333334,0.8830251801740586,0.9913235026836466,False,False,0.4027777777777778,0.9302325581395349,0.5555555555555556,40,43,True,0.9302325581395349
colic,43,0.1,72,72,0.9027777777777778,0.8098896595541573,0.9600104990663975,False,False,0.2361111111111111,0.8727272727272727,0.6666666666666666,48,55,True,0.8727272727272727
colic,44,0.01,72,72,1.0,0.9500559162941441,1.0,False,False,1.0,,0.0,0,0,False,
colic,44,0.05,72,72,0.9444444444444444,0.8638213506873339,0.9846574628888676,True,False,0.3194444444444444,0.9183673469387755,0.625,45,49,True,0.9183673469387755
colic,44,0.1,72,72,0.8611111111111112,0.7593740674969758,0.9313357923031833,True,False,0.06944444444444445,0.8507462686567164,0.7916666666666666,57,67,True,0.8507462686567164
colic,45,0.01,72,72,1.0,0.9500559162941441,1.0,False,False,1.0,,0.0,0,0,False,
colic,45,0.05,72,72,0.9583333333333334,0.8830251801740586,0.9913235026836466,False,False,0.5277777777777778,0.9117647058823529,0.4305555555555556,31,34,True,0.9117647058823529
colic,45,0.1,72,72,0.8472222222222222,0.7430598767517241,0.9211880368122047,True,False,0.18055555555555555,0.8135593220338984,0.6666666666666666,48,59,True,0.8135593220338984
colic,46,0.01,72,72,1.0,0.9500559162941441,1.0,False,False,1.0,,0.0,0,0,False,
colic,46,0.05,72,72,0.9305555555555556,0.8453326851838769,0.9770683408462724,True,False,0.3888888888888889,0.8863636363636364,0.5416666666666666,39,44,True,0.8863636363636364
colic,46,0.1,72,72,0.8888888888888888,0.7927531293329052,0.9507919607293592,True,False,0.20833333333333334,0.8596491228070176,0.6805555555555556,49,57,True,0.8596491228070176
creditA,42,0.01,138,138,0.9927536231884058,0.9602882220071434,0.9998165544519825,False,False,0.9420289855072463,0.875,0.050724637681159424,7,8,True,0.875
creditA,42,0.05,138,138,0.8840579710144928,0.818553104790822,0.9322568374110942,True,True,0.09420289855072464,0.872,0.7898550724637681,109,125,True,0.872
creditA,42,0.1,138,138,0.8260869565217391,0.7523734629400928,0.8852770730454169,True,True,0.036231884057971016,0.8571428571428571,0.8260869565217391,114,133,True,0.8571428571428571
creditA,43,0.01,138,138,1.0,0.9736231006593588,1.0,False,False,0.8188405797101449,1.0,0.18115942028985507,25,25,True,1.0
creditA,43,0.05,138,138,0.9492753623188406,0.8982810319482651,0.9793656359310434,True,False,0.21014492753623187,0.9357798165137615,0.7391304347826086,102,109,True,0.9357798165137615
creditA,43,0.1,138,138,0.9057971014492754,0.844297824232858,0.9488822616884096,False,False,0.057971014492753624,0.9,0.8478260869565217,117,130,True,0.9
creditA,44,0.01,138,138,0.9782608695652174,0.9377845569110926,0.9954942340385098,True,False,0.5579710144927537,0.9508196721311475,0.42028985507246375,58,61,True,0.9508196721311475
creditA,44,0.05,138,138,0.9420289855072463,0.8889697733125833,0.9746428256157472,True,False,0.2246376811594203,0.9252336448598131,0.717391304347826,99,107,True,0.9252336448598131
creditA,44,0.1,138,138,0.8333333333333334,0.7604881175699686,0.891316107317931,True,True,0.036231884057971016,0.8270676691729323,0.7971014492753623,110,133,True,0.8646616541353384
creditA,45,0.01,138,138,0.9565217391304348,0.9077694859198381,0.9838795094453181,True,True,0.6014492753623188,0.8909090909090909,0.35507246376811596,49,55,True,0.8909090909090909
creditA,45,0.05,138,138,0.927536231884058,0.8707743093020052,0.9647054469356416,True,False,0.30434782608695654,0.8958333333333334,0.6231884057971014,86,96,True,0.8958333333333334
creditA,45,0.1,138,138,0.8695652173913043,0.801709807577353,0.9208285683621928,True,False,0.09420289855072464,0.856,0.7753623188405797,107,125,True,0.856
creditA,46,0.01,138,138,1.0,0.9736231006593588,1.0,False,False,0.9710144927536232,1.0,0.028985507246376812,4,4,True,1.0
creditA,46,0.05,138,138,0.9855072463768116,0.9486289239638097,0.9982400159788656,False,False,0.36231884057971014,0.9772727272727273,0.6231884057971014,86,88,True,0.9772727272727273
creditA,46,0.1,138,138,0.9130434782608695,0.8530309325471026,0.9542588878502754,False,False,0.10869565217391304,0.9024390243902439,0.8043478260869565,111,123,True,0.9024390243902439
diabetes,42,0.01,154,154,0.9935064935064936,0.9643529687093081,0.9998356121621912,False,False,0.8376623376623377,0.96,0.15584415584415584,24,25,True,0.96
diabetes,42,0.05,154,154,0.9545454545454546,0.9085906212159984,0.9815322809442069,False,False,0.5454545454545454,0.9,0.4090909090909091,63,70,True,0.9
diabetes,42,0.1,154,154,0.9090909090909091,0.8521744777812089,0.9494044820829403,False,False,0.37012987012987014,0.8556701030927835,0.538961038961039,83,97,True,0.8556701030927835
diabetes,43,0.01,154,154,1.0,0.9763308516272456,1.0,False,False,0.7727272727272727,1.0,0.22727272727272727,35,35,True,1.0
diabetes,43,0.05,154,154,0.9935064935064936,0.9643529687093081,0.9998356121621912,False,False,0.6883116883116883,0.9791666666666666,0.3051948051948052,47,48,True,0.9791666666666666
diabetes,43,0.1,154,154,0.9545454545454546,0.9085906212159984,0.9815322809442069,False,False,0.551948051948052,0.8985507246376812,0.4025974025974026,62,69,True,0.8985507246376812
diabetes,44,0.01,154,154,0.9935064935064936,0.9643529687093081,0.9998356121621912,False,False,0.8051948051948052,0.9666666666666667,0.18831168831168832,29,30,True,0.9666666666666667
diabetes,44,0.05,154,154,0.9545454545454546,0.9085906212159984,0.9815322809442069,False,False,0.5974025974025974,0.8870967741935484,0.35714285714285715,55,62,True,0.8870967741935484
diabetes,44,0.1,154,154,0.8766233766233766,0.8140525204955222,0.9240584200245534,True,False,0.4090909090909091,0.7912087912087912,0.4675324675324675,72,91,True,0.7912087912087912
diabetes,45,0.01,154,154,1.0,0.9763308516272456,1.0,False,False,0.9805194805194806,1.0,0.01948051948051948,3,3,True,1.0
diabetes,45,0.05,154,154,0.9805194805194806,0.9441270171696394,0.9959644895123378,False,False,0.6233766233766234,0.9482758620689655,0.35714285714285715,55,58,True,0.9482758620689655
diabetes,45,0.1,154,154,0.9155844155844156,0.8599728453563186,0.9542855760329373,False,False,0.37662337662337664,0.8645833333333334,0.538961038961039,83,96,True,0.8645833333333334
diabetes,46,0.01,154,154,1.0,0.9763308516272456,1.0,False,False,0.974025974025974,1.0,0.025974025974025976,4,4,True,1.0
diabetes,46,0.05,154,154,0.9675324675324676,0.9258604591841042,0.9893754248256854,False,False,0.6038961038961039,0.9180327868852459,0.36363636363636365,56,61,True,0.9180327868852459
diabetes,46,0.1,154,154,0.948051948051948,0.9002092322564991,0.9773086776687551,False,False,0.4935064935064935,0.8974358974358975,0.45454545454545453,70,78,True,0.8974358974358975
german,42,0.01,191,191,0.9895287958115183,0.9626882406630003,0.9987293634276874,True,False,0.900523560209424,0.8947368421052632,0.08900523560209424,17,19,True,0.8947368421052632
german,42,0.05,191,191,0.9581151832460733,0.9191409097037062,0.9817463122110702,False,False,0.7382198952879581,0.84,0.2198952879581152,42,50,True,0.84
german,42,0.1,191,191,0.9214659685863874,0.8737782345285949,0.9553798275349161,False,False,0.6020942408376964,0.8026315789473685,0.3193717277486911,61,76,True,0.8026315789473685
german,43,0.01,191,191,0.9947643979057592,0.9711758164173583,0.9998674548161852,False,False,0.9685863874345549,0.8333333333333334,0.02617801047120419,5,6,True,0.8333333333333334
german,43,0.05,191,191,0.93717277486911,0.892825803290704,0.9671179326211378,True,False,0.7643979057591623,0.7333333333333333,0.17277486910994763,33,45,True,0.7333333333333333
german,43,0.1,191,191,0.8743455497382199,0.8188263500930131,0.9178050604816715,True,False,0.5916230366492147,0.6923076923076923,0.28272251308900526,54,78,True,0.6923076923076923
german,44,0.01,191,191,1.0,0.9808718058242291,1.0,False,False,0.9738219895287958,1.0,0.02617801047120419,5,5,True,1.0
