task_type,dataset,ncf,w,accept_rate,accepted_accuracy,accepted_accuracy_delta
binary,haberman,hinge,0.7,0.2807017543859649,0.8125,0.14583333333333337
binary,haberman,hinge,1.0,0.2807017543859649,0.8125,0.14583333333333337
binary,haberman,margin,0.3,0.03508771929824561,0.5,-0.16666666666666663
binary,haberman,margin,0.5,0.03508771929824561,0.5,-0.16666666666666663
binary,haberman,margin,0.7,0.2807017543859649,0.8125,0.14583333333333337
binary,haberman,margin,1.0,0.2807017543859649,0.8125,0.14583333333333337
binary,haberman,entropy,0.3,0.0,,
binary,haberman,entropy,0.5,0.10526315789473684,1.0,0.33333333333333337
binary,haberman,entropy,0.7,0.24561403508771928,0.7857142857142857,0.11904761904761907
binary,haberman,entropy,1.0,0.2807017543859649,0.8125,0.14583333333333337
binary,haberman,ensured,0.3,0.10526315789473684,0.5,-0.16666666666666663
binary,haberman,ensured,0.5,0.10526315789473684,0.5,-0.16666666666666663
binary,haberman,ensured,0.7,0.22807017543859648,0.6923076923076923,0.02564102564102566
binary,haberman,ensured,1.0,0.2807017543859649,0.8125,0.14583333333333337
binary,heartC,hinge,0.3,0.39344262295081966,0.9583333333333334,0.18784153005464488
binary,heartC,hinge,0.5,0.39344262295081966,0.9583333333333334,0.18784153005464488
binary,heartC,hinge,0.7,0.39344262295081966,0.9583333333333334,0.18784153005464488
binary,heartC,hinge,1.0,0.39344262295081966,0.9583333333333334,0.18784153005464488
binary,heartC,margin,0.3,0.0,,
binary,heartC,margin,0.5,0.0,,
binary,heartC,margin,0.7,0.39344262295081966,0.9583333333333334,0.18784153005464488
binary,heartC,margin,1.0,0.39344262295081966,0.9583333333333334,0.18784153005464488
binary,heartC,entropy,0.3,0.06557377049180328,0.25,-0.5204918032786885
binary,heartC,entropy,0.5,0.0,,
binary,heartC,entropy,0.7,0.39344262295081966,0.9583333333333334,0.18784153005464488
binary,heartC,entropy,1.0,0.39344262295081966,0.9583333333333334,0.18784153005464488
binary,heartC,ensured,0.3,0.09836065573770492,0.8333333333333334,0.06284153005464488
binary,heartC,ensured,0.5,0.19672131147540983,0.9166666666666666,0.14617486338797814
binary,heartC,ensured,0.7,0.19672131147540983,0.9166666666666666,0.14617486338797814
binary,heartC,ensured,1.0,0.39344262295081966,0.9583333333333334,0.18784153005464488
binary,heartH,hinge,0.3,0.8305084745762712,0.8571428571428571,0.060532687651331685
binary,heartH,hinge,0.5,0.8305084745762712,0.8571428571428571,0.060532687651331685
binary,heartH,hinge,0.7,0.8305084745762712,0.8571428571428571,0.060532687651331685
binary,heartH,hinge,1.0,0.8305084745762712,0.8571428571428571,0.060532687651331685
binary,heartH,margin,0.3,0.0,,
binary,heartH,margin,0.5,0.0,,
binary,heartH,margin,0.7,0.8305084745762712,0.8571428571428571,0.060532687651331685
binary,heartH,margin,1.0,0.8305084745762712,0.8571428571428571,0.060532687651331685
binary,heartH,entropy,0.3,0.1016949152542373,0.5,-0.2966101694915254
binary,heartH,entropy,0.5,0.11864406779661017,0.42857142857142855,-0.36803874092009686
binary,heartH,entropy,0.7,0.8305084745762712,0.8571428571428571,0.060532687651331685
binary,heartH,entropy,1.0,0.8305084745762712,0.8571428571428571,0.060532687651331685
binary,heartH,ensured,0.3,0.03389830508474576,1.0,0.2033898305084746
binary,heartH,ensured,0.5,0.11864406779661017,0.8571428571428571,0.060532687651331685
binary,heartH,ensured,0.7,0.4576271186440678,0.8888888888888888,0.09227871939736343
binary,heartH,ensured,1.0,0.8305084745762712,0.8571428571428571,0.060532687651331685
binary,heartS,hinge,0.3,0.7222222222222222,0.7692307692307693,0.028490028490028574
binary,heartS,hinge,0.5,0.7222222222222222,0.7692307692307693,0.028490028490028574
binary,heartS,hinge,0.7,0.7222222222222222,0.7692307692307693,0.028490028490028574
binary,heartS,hinge,1.0,0.7222222222222222,0.7692307692307693,0.028490028490028574
binary,heartS,margin,0.3,0.018518518518518517,1.0,0.2592592592592593
binary,heartS,margin,0.5,0.018518518518518517,1.0,0.2592592592592593
binary,heartS,margin,0.7,0.7222222222222222,0.7692307692307693,0.028490028490028574
binary,heartS,margin,1.0,0.7222222222222222,0.7692307692307693,0.028490028490028574
binary,heartS,entropy,0.3,0.0,,
binary,heartS,entropy,0.5,0.18518518518518517,0.6,-0.14074074074074072
binary,heartS,entropy,0.7,0.7222222222222222,0.7692307692307693,0.028490028490028574
binary,heartS,entropy,1.0,0.7222222222222222,0.7692307692307693,0.028490028490028574
binary,heartS,ensured,0.3,0.35185185185185186,0.7894736842105263,0.04873294346978563
binary,heartS,ensured,0.5,0.37037037037037035,0.8,0.059259259259259345
binary,heartS,ensured,0.7,0.37037037037037035,0.8,0.059259259259259345
binary,heartS,ensured,1.0,0.7222222222222222,0.7692307692307693,0.028490028490028574
binary,hepati,hinge,0.3,0.3225806451612903,1.0,0.09677419354838712
binary,hepati,hinge,0.5,0.3225806451612903,1.0,0.09677419354838712
binary,hepati,hinge,0.7,0.3225806451612903,1.0,0.09677419354838712
binary,hepati,hinge,1.0,0.3225806451612903,1.0,0.09677419354838712
binary,hepati,margin,0.3,0.0,,
binary,hepati,margin,0.5,0.0,,
binary,hepati,margin,0.7,0.3225806451612903,1.0,0.09677419354838712
binary,hepati,margin,1.0,0.3225806451612903,1.0,0.09677419354838712
binary,hepati,entropy,0.3,0.0,,
binary,hepati,entropy,0.5,0.0967741935483871,0.6666666666666666,-0.23655913978494625
binary,hepati,entropy,0.7,0.0967741935483871,1.0,0.09677419354838712
binary,hepati,entropy,1.0,0.3225806451612903,1.0,0.09677419354838712
binary,hepati,ensured,0.3,0.0967741935483871,0.6666666666666666,-0.23655913978494625
binary,hepati,ensured,0.5,0.0967741935483871,0.6666666666666666,-0.23655913978494625
binary,hepati,ensured,0.7,0.16129032258064516,0.8,-0.10322580645161283
binary,hepati,ensured,1.0,0.3225806451612903,1.0,0.09677419354838712
binary,iono,hinge,0.3,0.8428571428571429,1.0,0.042857142857142816
