dataset,confidence,method,difficulty_estimator,requested_reject_rate,empirical_reject_rate,accepted_coverage,accepted_interval_width,accepted_mae,accepted_mse,interval_coverage_all,mse_all,guarantee_status
diabetes_reg,0.95,paper_difficulty_mondrian,default,0.1,0.033707865168539325,0.9418604651162791,0.6257305557823732,0.14287096170020647,0.029809851209182902,0.9438202247191011,0.030739576212255898,target_formal_result
diabetes_reg,0.95,paper_difficulty_mondrian,default,0.2,0.24719101123595505,0.9253731343283582,0.5479799195152585,0.13028867051892834,0.024145080351550392,0.9438202247191011,0.030739576212255898,target_formal_result
diabetes_reg,0.95,paper_difficulty_mondrian,default,0.30000000000000004,0.2696629213483146,0.9230769230769231,0.5412668991549887,0.1293204968954245,0.024080473939316834,0.9438202247191011,0.030739576212255898,target_formal_result
diabetes_reg,0.95,paper_difficulty_mondrian,default,0.4,0.3258426966292135,0.9166666666666666,0.5270073954650136,0.12515352368606517,0.02307704368703394,0.9438202247191011,0.030739576212255898,target_formal_result
diabetes_reg,0.95,paper_difficulty_mondrian,default,0.5,0.39325842696629215,0.9259259259259259,0.5086618687617491,0.12042842818050961,0.020703226466130847,0.9438202247191011,0.030739576212255898,target_formal_result
diabetes_reg,0.95,threshold_baseline,none,0.1,0.2808988764044944,0.96875,0.7275132275132272,0.1537285052910053,0.032821188538429774,0.9775280898876404,0.027506927069621028,heuristic
diabetes_reg,0.95,threshold_baseline,none,0.2,0.550561797752809,0.9,0.6527777777777783,0.14179257528556594,0.03106752473260375,0.9438202247191011,0.027581456869749464,heuristic
diabetes_reg,0.95,threshold_baseline,none,0.30000000000000004,0.5617977528089888,0.8461538461538461,0.693722587719299,0.1588358918128656,0.04260570261525859,0.9101123595505618,0.037266085594738416,heuristic
diabetes_reg,0.95,threshold_baseline,none,0.4,0.5842696629213483,0.9459459459459459,0.6897455867082033,0.11911186887822402,0.0226762264819628,0.9775280898876404,0.028353173252029993,heuristic
diabetes_reg,0.95,threshold_baseline,none,0.5,0.5617977528089888,0.8717948717948718,0.6028306878306883,0.1436243386243386,0.032564325750348684,0.8876404494382022,0.03416862077008176,heuristic
diabetes_reg,0.95,value_bin_width_baseline,predicted_value_bins,,0.0,0.9438202247191011,0.6897951927179632,0.15053261152989145,0.03427159021092433,0.9438202247191011,0.03427159021092433,heuristic
diabetes_reg,0.95,value_bin_width_baseline,predicted_value_bins,,0.0,1.0,inf,0.15014696818849854,0.034369491037130905,1.0,0.034369491037130905,heuristic
abalone,0.95,paper_difficulty_mondrian,default,0.1,0.10167464114832536,0.8868175765645806,0.21794116854221254,0.05103236977285379,0.005678411681486646,0.888755980861244,0.006335168731635315,target_formal_result
abalone,0.95,paper_difficulty_mondrian,default,0.2,0.19856459330143542,0.8850746268656716,0.20663752625563916,0.048888215251058215,0.005367981657029004,0.888755980861244,0.006335168731635315,target_formal_result
