seed,model,n_dim,method,significance,metric,value
0,logreg,10,multibin_noguard,0.2,rule_count,9.472
0,logreg,10,multibin_noguard,0.2,candidate_violation_auroc,0.8605713783235389
0,logreg,10,guarded,0.2,representative_violation_rate,0.0026666666666666666
0,logreg,10,guarded,0.2,rule_count,6.734
0,logreg,10,guarded,0.2,candidate_violation_auroc,0.8605713783235389
0,logreg,10,random_pruned_multibin,0.2,representative_violation_rate,0.0041841004184100415
0,logreg,10,random_pruned_multibin,0.2,rule_count,6.734
0,logreg,10,random_pruned_multibin,0.2,candidate_violation_auroc,
0,rf,2,standard,0.01,representative_violation_rate,0.031
0,rf,2,standard,0.01,rule_count,2.0
0,rf,2,standard,0.01,candidate_violation_auroc,
0,rf,2,multibin_noguard,0.01,representative_violation_rate,0.003
0,rf,2,multibin_noguard,0.01,rule_count,2.0
0,rf,2,multibin_noguard,0.01,candidate_violation_auroc,0.9575188252980197
0,rf,2,guarded,0.01,representative_violation_rate,0.001006036217303823
0,rf,2,guarded,0.01,rule_count,1.988
0,rf,2,guarded,0.01,candidate_violation_auroc,0.9575188252980197
0,rf,2,random_pruned_multibin,0.01,representative_violation_rate,0.0030181086519114686
0,rf,2,random_pruned_multibin,0.01,rule_count,1.988
0,rf,2,random_pruned_multibin,0.01,candidate_violation_auroc,
0,rf,2,standard,0.05,representative_violation_rate,0.031
0,rf,2,standard,0.05,rule_count,2.0
0,rf,2,standard,0.05,candidate_violation_auroc,
0,rf,2,multibin_noguard,0.05,representative_violation_rate,0.003
0,rf,2,multibin_noguard,0.05,rule_count,2.0
0,rf,2,multibin_noguard,0.05,candidate_violation_auroc,0.9575188252980197
0,rf,2,guarded,0.05,representative_violation_rate,0.0
0,rf,2,guarded,0.05,rule_count,1.952
0,rf,2,guarded,0.05,candidate_violation_auroc,0.9575188252980197
0,rf,2,random_pruned_multibin,0.05,representative_violation_rate,0.0030737704918032786
0,rf,2,random_pruned_multibin,0.05,rule_count,1.952
0,rf,2,random_pruned_multibin,0.05,candidate_violation_auroc,
0,rf,2,standard,0.1,representative_violation_rate,0.031
0,rf,2,standard,0.1,rule_count,2.0
0,rf,2,standard,0.1,candidate_violation_auroc,
0,rf,2,multibin_noguard,0.1,representative_violation_rate,0.003
0,rf,2,multibin_noguard,0.1,rule_count,2.0
0,rf,2,multibin_noguard,0.1,candidate_violation_auroc,0.9575188252980197
0,rf,2,guarded,0.1,representative_violation_rate,0.0
0,rf,2,guarded,0.1,rule_count,1.822
0,rf,2,guarded,0.1,candidate_violation_auroc,0.9575188252980197
0,rf,2,random_pruned_multibin,0.1,representative_violation_rate,0.003293084522502744
0,rf,2,random_pruned_multibin,0.1,rule_count,1.822
0,rf,2,random_pruned_multibin,0.1,candidate_violation_auroc,
0,rf,2,standard,0.2,representative_violation_rate,0.031
0,rf,2,standard,0.2,rule_count,2.0
0,rf,2,standard,0.2,candidate_violation_auroc,
0,rf,2,multibin_noguard,0.2,representative_violation_rate,0.003
0,rf,2,multibin_noguard,0.2,rule_count,2.0
0,rf,2,multibin_noguard,0.2,candidate_violation_auroc,0.9575188252980197
0,rf,2,guarded,0.2,representative_violation_rate,0.0
0,rf,2,guarded,0.2,rule_count,1.7
